2021-06-05 20:02:03 start train.
2021-06-07 03:38:26 EPOCH 102 ,g_loss:551.720947265625 d_loss:-0.9444494843482971 p_loss:0.0077700307592749596 gp_loss:0.06147698685526848 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 03:56:45 EPOCH 103 ,g_loss:586.7824096679688 d_loss:-0.9350625872612 p_loss:0.007718934211879969 gp_loss:0.060014836490154266 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 04:15:04 EPOCH 104 ,g_loss:621.0616455078125 d_loss:-0.9449007511138916 p_loss:0.007621947210282087 gp_loss:0.0618736669421196 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 04:33:23 EPOCH 105 ,g_loss:616.2799072265625 d_loss:-0.9443630576133728 p_loss:0.007667013444006443 gp_loss:0.06140302121639252 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 04:52:06 EPOCH 106 ,g_loss:600.1870727539062 d_loss:-0.9473234415054321 p_loss:0.007426706608384848 gp_loss:0.060518279671669006 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 05:10:25 EPOCH 107 ,g_loss:521.8590698242188 d_loss:-0.9065783023834229 p_loss:0.007768665906041861 gp_loss:0.0563233308494091 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 05:28:45 EPOCH 108 ,g_loss:526.6397705078125 d_loss:-0.9298688173294067 p_loss:0.007739691529422998 gp_loss:0.058551426976919174 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 05:47:04 EPOCH 109 ,g_loss:531.0648803710938 d_loss:-0.9336563348770142 p_loss:0.00761407520622015 gp_loss:0.05959570035338402 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 06:05:24 EPOCH 110 ,g_loss:510.0492858886719 d_loss:-0.9374894499778748 p_loss:0.007606551982462406 gp_loss:0.06019546464085579 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 06:24:03 EPOCH 111 ,g_loss:499.59527587890625 d_loss:-0.9398909211158752 p_loss:0.007663678377866745 gp_loss:0.05966315045952797 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 06:42:22 EPOCH 112 ,g_loss:496.6492004394531 d_loss:-0.9561951160430908 p_loss:0.0076293363235890865 gp_loss:0.06123260408639908 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 07:00:42 EPOCH 113 ,g_loss:470.8516845703125 d_loss:-0.9433894157409668 p_loss:0.007721757981926203 gp_loss:0.060328543186187744 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 07:19:02 EPOCH 114 ,g_loss:457.1039733886719 d_loss:-0.9257661700248718 p_loss:0.00766681507229805 gp_loss:0.060158971697092056 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 07:37:21 EPOCH 115 ,g_loss:450.0808410644531 d_loss:-0.9377396106719971 p_loss:0.007706979289650917 gp_loss:0.06130026653409004 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
2021-06-07 07:55:59 EPOCH 116 ,g_loss:454.1355285644531 d_loss:-0.9474088549613953 p_loss:0.0076422314159572124 gp_loss:0.061537206172943115 gamma:tensor([1.], device='cuda:0', grad_fn=<CopyBackwards>)
